ann,nombre
IPR041243,"STI1/HOP, DP domain"
IPR000326,Phosphatidic acid phosphatase type 2/haloperoxidase
IPR036938,Phosphatidic acid phosphatase type 2/haloperoxidase superfamily
IPR043216,Phosphatidic acid phosphatases-like
IPR052084,Spliceosome-associated SF3B4 subunit
IPR024990,Anaphase-promoting complex subunit 1
IPR060410,"APC1, TPR-like domain"
IPR015421,"Pyridoxal phosphate-dependent transferase, major domain"
IPR015422,"Pyridoxal phosphate-dependent transferase, small domain"
IPR004839,"Aminotransferase, class I/classII, large domain"
IPR050087,8-amino-7-oxononanoate synthase class-II
IPR015424,Pyridoxal phosphate-dependent transferase
IPR050326,NAD-dependent DNA ligase B
IPR029319,"DNA ligase, OB-like domain"
IPR016059,"DNA ligase, ATP-dependent, conserved site"
IPR025487,Treble clef zinc finger domain
IPR012310,"DNA ligase, ATP-dependent, central"
IPR036380,Isochorismatase-like superfamily
IPR000868,Isochorismatase-like domain
IPR050993,Isochorismatase domain-containing protein
IPR008862,T-complex 11
IPR007233,Trafficking protein particle complex subunit
IPR011012,Longin-like domain superfamily
IPR002014,VHS domain
IPR008942,ENTH/VHS
IPR044836,"TOM1-like protein, plant"
IPR038765,Papain-like cysteine peptidase superfamily
IPR038156,"Phytochelatin synthase, N-terminal domain superfamily"
IPR050361,Mitochondrial Processing Peptidase/Ubiquinol-cytochrome c Reductase Complex
IPR011765,"Peptidase M16, N-terminal"
IPR011249,"Metalloenzyme, LuxS/M16 peptidase-like"
IPR002048,EF-hand domain
IPR051426,Peflin/Sorcin Calcium-Binding
IPR025875,Leucine rich repeat 4
IPR003603,"U2A'/phosphoprotein 32 family A, C-terminal"
IPR050836,SDS22/Internalin LRR-containing
IPR051476,Bacterial Response Regulator Aspartate Phosphatase
IPR035269,26S Proteasome non-ATPase regulatory subunit 9
IPR036034,PDZ superfamily
IPR040815,"Nas2, N-terminal"
IPR006602,DM10 domain
IPR040193,EF-hand domain-containing protein EFHC1/EFHC2/EFHB
IPR058584,"Importin subunit beta-1/Transportin-1-like, TPR repeats"
IPR001494,"Importin-beta, N-terminal domain"
IPR057672,"IPO4/5-like, TPR repeats domain"
IPR040122,Importin beta family
IPR056454,"IP5PC-F, beta-propeller domain"
IPR019775,"WD40 repeat, conserved site"
IPR036396,Cytochrome P450 superfamily
IPR001128,Cytochrome P450
IPR017972,"Cytochrome P450, conserved site"
IPR002403,"Cytochrome P450, E-class, group IV"
IPR050529,Lanosterol 14-alpha demethylase-like
IPR058803,Kinetoplastid PH-like domain
IPR001190,SRCR domain
IPR054204,Protein of unknown function DUF6909
IPR012171,Fatty acid desaturase
IPR005804,Fatty acid desaturase domain
IPR007745,Cytochrome c oxidase copper chaperone
IPR009069,Cysteine alpha-hairpin motif superfamily
IPR042507,TBC1 domain family member 19
IPR027640,Kinesin-like protein
IPR001752,Kinesin motor domain
IPR019821,"Kinesin motor domain, conserved site"
IPR036961,Kinesin motor domain superfamily
IPR007502,Helicase-associated domain
IPR002464,"DNA/RNA helicase, ATP-dependent, DEAH-box type, conserved site"
IPR048333,"Helicase associated domain (HA2), winged-helix domain"
IPR036047,F-box-like domain superfamily
IPR001810,F-box domain
IPR051425,Formin Homology
IPR036259,MFS transporter superfamily
IPR050452,Metacaspase
IPR011600,"Peptidase C14, caspase domain"
IPR020568,Ribosomal protein uS5 domain 2-type superfamily
IPR013507,"DNA mismatch repair protein, S5 domain 2-like"
IPR032189,"DNA mismatch repair protein Mlh1, C-terminal"
IPR002099,DNA mismatch repair protein MutL/Mlh/PMS
IPR038973,DNA mismatch repair protein MutL/Mlh/Pms-like
IPR036890,Histidine kinase/HSP90-like ATPase superfamily
IPR014721,"Small ribosomal subunit protein uS5 domain 2-type fold, subgroup"
IPR014762,"DNA mismatch repair, conserved site"
IPR032974,Polyprenol kinase family
IPR000850,Adenylate kinase/UMP-CMP kinase
IPR007862,"Adenylate kinase, active site lid domain"
IPR033690,"Adenylate kinase, conserved site"
IPR011053,Single hybrid motif
IPR039169,Protein Abitram
IPR036678,"MutS, connector domain superfamily"
IPR000432,"DNA mismatch repair protein MutS, C-terminal"
IPR007696,"DNA mismatch repair protein MutS, core"
IPR045076,DNA mismatch repair MutS
IPR036187,"DNA mismatch repair protein MutS, core domain superfamily"
IPR011709,"DEAD-box helicase, OB fold"
IPR036774,ERV/ALR sulfhydryl oxidase domain superfamily
IPR039799,Sulfhydryl oxidase ALR/ERV
IPR017905,ERV/ALR sulfhydryl oxidase domain
IPR050447,Erg6/SMT methyltransferase
IPR013216,Methyltransferase type 11
IPR030384,SAM-dependent methyltransferase SMT-type
IPR013705,Sterol methyltransferase C-terminal
IPR020094,"Pseudouridine synthase TruA/RsuA/RluB/E/F, N-terminal"
IPR002942,RNA-binding S4 domain
IPR036986,RNA-binding S4 domain superfamily
IPR042092,"Pseudouridine synthase, RsuA/RluB/E/F, catalytic domain"
IPR020103,"Pseudouridine synthase, catalytic domain superfamily"
IPR006145,"Pseudouridine synthase, RsuA/RluA-like"
IPR050343,Ribosomal RNA Pseudouridine Synthase RsuA
IPR045227,WD repeat-containing protein WDR18/Ipi3/RID3
IPR011047,Quinoprotein alcohol dehydrogenase-like superfamily
IPR001394,"Peptidase C19, ubiquitin carboxyl-terminal hydrolase"
IPR028889,"Ubiquitin specific protease UPS, catalytic domain"
IPR018200,"Ubiquitin specific protease, conserved site"
IPR001876,"Zinc finger, RanBP2-type"
IPR050164,Ubiquitin carboxyl-terminal hydrolases
IPR027078,Small nuclear ribonucleoprotein E
IPR041095,"Elongation Factor G, domain II"
IPR005517,"Translation elongation factor EFG/EF2, domain IV"
IPR035647,EF-G domain III/V-like
IPR000640,"Elongation factor EFG, domain V-like"
IPR004161,"Translation elongation factor EFTu-like, domain 2"
IPR055347,"U3 small nucleolar RNA-associated protein 6, N-terminal"
IPR013949,U3 small nucleolar RNA-associated protein 6
IPR029164,Phosphatidylinositol N-acetylglucosaminyltransferase subunit Y
IPR031468,Synaptotagmin-like mitochondrial-lipid-binding domain
IPR051218,Secreted Mono/Diacylglycerol Lipase
IPR002921,Fungal lipase-type domain
IPR002043,Uracil-DNA glycosylase family 1
IPR036895,Uracil-DNA glycosylase-like domain superfamily
IPR018085,"Uracil-DNA glycosylase, active site"
IPR005122,Uracil-DNA glycosylase-like
IPR006689,"Small GTPase superfamily, ARF/SAR type"
IPR045872,ADP-ribosylation factor 1-5
IPR024156,"Small GTPase superfamily, ARF type"
IPR036249,Thioredoxin-like superfamily
IPR013766,Thioredoxin domain
IPR012936,"Endoplasmic reticulum vesicle transporter, C-terminal"
IPR039542,"Endoplasmic reticulum vesicle transporter, N-terminal"
IPR045888,Endoplasmic reticulum vesicle transporter
IPR036928,Amidase signature (AS) superfamily
IPR000120,Amidase
IPR036375,Hemopexin-like domain superfamily
IPR002130,Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain
IPR029000,Cyclophilin-like domain superfamily
IPR037278,ARFGAP/RecO-like zinc finger
IPR001164,Arf GTPase activating protein
IPR038508,ArfGAP domain superfamily
IPR036282,"Glutathione S-transferase, C-terminal domain superfamily"
IPR004045,"Glutathione S-transferase, N-terminal"
IPR016187,C-type lectin fold
IPR030395,Glycerophosphodiester phosphodiesterase domain
IPR051578,Glycerophosphodiester Phosphodiesterase
IPR017946,"PLC-like phosphodiesterase, TIM beta/alpha-barrel domain superfamily"
IPR018108,"Mitochondrial carrier protein, transmembrane region"
IPR023395,Mitochondrial carrier protein domain superfamily
IPR050567,Mitochondrial Carrier
IPR011011,"Zinc finger, FYVE/PHD-type"
IPR050869,Histone-lysine N-methyltransferase
IPR046341,SET domain superfamily
IPR001214,SET domain
IPR000454,"ATP synthase, F0 complex, subunit C"
IPR002379,V-ATPase proteolipid subunit C-like domain
IPR020537,"ATP synthase, F0 complex, subunit C, DCCD-binding site"
IPR038662,F1F0 ATP synthase subunit C superfamily
IPR035921,F/V-ATP synthase subunit C superfamily
IPR029765,Diphosphomevalonate decarboxylase
IPR036554,"GHMP kinase, C-terminal domain superfamily"
IPR041431,"Mvd1, C-terminal"
IPR005935,Diphosphomevalonate/phosphomevalonate decarboxylase
IPR053859,Diphosphomevalonate decarboxylase-like N-terminal domain
IPR000358,Ribonucleotide reductase small subunit family
IPR033909,Ribonucleotide reductase small subunit
IPR012348,Ribonucleotide reductase-like
IPR009078,Ferritin-like superfamily
IPR030475,"Ribonucleotide reductase small subunit, acitve site"
IPR022879,V-type ATP synthase regulatory subunit B/beta
IPR005723,"ATPase, V1 complex, subunit B"
IPR000194,"ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain"
